Cultist,Stealth,Influence,Endurance,Lore,Economic,Strength,Insanity,Position
Aadil Foster,2.8,9.4,5.2,8.2,9.2,9.6,0.9,Accountant
Cosmo Truong,7.0,2.8,9.8,3.0,0.3,0.2,8.1,Assassin
Oliwia Mccarthy,5.4,6.6,5.6,1.3,9.8,3.9,9.4,Recruiter
Ashanti Brady,0.5,5.5,9.2,9.4,3.4,1.0,7.5,Priest
Lillia Hardy,3.2,6.1,10.0,1.6,3.0,0.9,6.5,Priest
Cristian Molina,1.7,4.0,0.2,4.7,4.9,5.4,7.5,Priest
Tamika Searle,4.6,3.4,3.0,0.8,6.2,9.3,4.2,Enforcer
Jonah Philip,6.1,3.5,9.1,7.5,1.2,3.6,5.3,Assassin
Romario Power,8.9,1.0,7.5,4.6,4.5,4.2,6.7,Assassin
Soren Hurley,7.3,9.1,3.6,5.6,8.1,5.9,9.1,Recruiter
Allison Medrano,3.8,5.4,2.1,7.9,6.2,8.0,8.7,Priest
Evie-Mae Carver,0.4,9.0,4.0,8.2,3.8,0.5,3.7,Recruiter
Conna Boyce,4.4,4.9,4.9,1.8,1.6,1.6,9.9,Priest
Evie Walton,9.9,10.0,4.1,7.4,4.0,4.7,1.8,Advisor
Theodora Mackenzie,0.7,9.1,6.3,2.2,9.6,7.1,3.9,Enforcer
Jac Sargent,5.8,9.1,4.9,5.8,6.2,4.0,6.7,Recruiter
Eamonn Millington,7.4,5.4,8.2,5.4,5.9,9.0,9.2,Assassin
Allana Humphreys,8.2,7.2,3.5,7.8,9.4,5.5,2.5,Advisor
Nishat Beasley,6.8,4.6,8.9,7.3,9.0,9.0,5.7,Accountant
Humairaa Cullen,6.4,6.6,9.5,4.2,3.1,7.4,6.0,Enforcer
Junaid Mckee,8.7,1.0,1.5,8.0,0.1,3.1,5.5,Assassin
Dominika Ratliff,9.0,6.5,4.1,0.0,7.9,3.7,8.2,Assassin
Hajrah Sharp,1.1,0.3,3.0,2.2,0.6,8.4,1.8,Enforcer
Malik Watkins,9.1,5.6,6.5,3.2,7.1,6.2,9.9,Assassin
Courtney Amin,6.4,2.2,7.6,7.9,6.4,4.3,1.2,Accountant
Randall Rennie,7.9,5.6,2.5,9.7,8.2,7.1,5.7,Advisor
Scarlet Kirkland,6.4,8.7,0.4,0.2,3.4,1.7,6.3,Recruiter
Coen Vega,8.1,6.7,5.1,2.9,8.3,1.0,8.5,Recruiter
Maisie Holman,0.8,5.5,0.4,9.5,2.0,9.1,6.6,Priest
Kaidan Shaw,0.7,0.3,4.5,1.3,6.6,6.2,3.7,Enforcer
Jennifer Whitfield,6.6,4.2,1.1,9.2,10.0,3.0,2.6,Advisor
Scarlett-Rose Herrera,3.0,6.6,7.1,4.8,6.5,1.3,7.7,Priest
Aviana Wells,6.3,0.6,6.1,6.4,9.9,2.0,0.7,Accountant
Chyna Gallagher,8.6,3.4,1.1,7.4,9.0,9.8,9.4,Advisor
Teagan Wolf,5.2,6.4,3.1,9.1,6.3,9.7,6.7,Advisor
Kaila Bowers,4.5,4.1,1.7,2.2,6.2,1.1,7.7,Recruiter
Charlotte Hilton,0.0,4.0,4.2,7.8,1.3,1.6,9.7,Priest
Marsha Serrano,4.2,6.1,8.2,8.6,2.5,9.1,0.1,Enforcer
Humaira Warren,3.1,6.0,1.8,6.2,6.6,7.7,3.5,Advisor
Huey Mansell,5.2,0.1,2.6,2.1,1.4,2.8,3.9,Assassin
Myla Dawe,8.9,8.1,2.1,0.7,3.1,0.3,1.4,Recruiter
Lyndon Moss,1.1,6.8,7.3,9.7,0.7,8.1,3.1,Enforcer
Jakub Rees,9.3,9.3,2.8,6.1,5.6,4.0,8.2,Recruiter
Luca Kirk,0.6,9.7,8.4,6.7,3.4,9.0,9.7,Enforcer
Janelle Graves,0.8,1.0,8.9,8.3,6.8,4.5,9.2,Priest
Kameron Lucas,2.8,0.6,6.1,2.9,4.0,8.3,1.1,Enforcer
Lexi-Mai Mcgregor,6.9,4.6,5.2,1.9,4.5,6.1,1.5,Enforcer
Mario Ramos,2.9,8.1,4.8,0.1,2.3,7.9,9.3,Enforcer
Andy Gregory,9.0,7.3,8.6,2.7,2.1,4.0,4.7,Assassin
Saima Sims,9.5,8.2,1.4,7.2,2.9,0.7,9.9,Recruiter
Della Huffman,0.4,5.8,0.2,6.4,2.4,2.6,3.1,Advisor
Derek Sears,9.4,4.7,4.8,3.1,0.9,8.6,4.2,Assassin
Hadiya James,4.0,6.1,7.5,3.3,8.1,7.9,2.4,Enforcer
Debbie Griffiths,6.1,1.0,9.7,4.5,0.6,2.9,1.0,Assassin
Jax Bennett,3.6,1.0,5.8,8.7,0.8,8.1,5.1,Assassin
Laurie Williams,9.5,6.3,7.5,0.8,2.6,3.5,2.0,Assassin
Shaunie Atkins,3.9,1.8,0.3,1.7,4.3,2.1,7.4,Recruiter
Claire Castillo,5.3,7.0,9.6,9.2,9.7,8.4,9.6,Priest
Indigo Penn,1.4,9.4,9.1,2.5,7.4,1.5,5.1,Recruiter
Alan Bowers,3.9,3.9,4.7,4.9,8.4,3.3,9.0,Priest
Adelina Redman,4.4,7.9,4.4,8.8,2.4,2.3,0.7,Advisor
Harold Payne,7.0,7.2,1.6,5.2,3.2,2.8,7.9,Recruiter
Gerard Fellows,9.4,2.9,9.8,3.2,6.8,2.0,8.7,Assassin
Cleo Heath,2.4,5.8,1.1,5.6,5.6,9.5,6.8,Enforcer
Kylie Lawrence,9.2,2.2,5.3,4.9,2.7,6.1,1.5,Assassin
Enzo Riddle,0.7,8.5,3.1,6.5,9.8,8.7,7.4,Priest
Kier Leon,7.6,0.4,0.4,4.2,6.0,5.4,7.2,Assassin
Marjorie Gibbs,8.7,8.7,3.5,7.9,4.8,7.8,8.7,Recruiter
Orla Mccartney,2.0,5.8,1.4,3.8,6.8,8.1,9.2,Priest
Akeem Cruz,3.8,4.4,9.9,6.3,1.5,1.6,5.2,Priest
Stewart Andrews,4.2,6.5,8.2,0.0,0.3,0.4,4.5,Enforcer
Scarlett Hanson,9.8,1.8,6.6,0.0,4.7,3.0,6.5,Assassin
Byron Clay,9.1,8.9,5.3,4.7,0.8,3.9,4.6,Enforcer
Shah Howe,6.4,9.7,9.6,3.5,9.0,7.3,6.8,Enforcer
Grover Cash,2.4,8.5,2.1,9.1,6.9,2.3,2.2,Advisor
Joanna Webber,3.1,5.1,3.2,2.0,3.2,9.0,1.0,Enforcer
Izaan Trevino,4.3,1.7,3.4,1.1,5.8,9.4,5.0,Enforcer
Brogan Woodley,8.1,1.2,9.1,7.4,4.7,9.2,4.1,Assassin
Nia Caldwell,1.6,9.1,6.9,5.4,3.4,1.7,0.6,Accountant
Arnas Kidd,1.6,9.7,5.8,1.5,7.1,5.4,9.1,Recruiter
Alia Vo,5.1,6.8,6.1,4.6,3.3,5.1,3.4,Enforcer
Barry Dawson,3.3,5.2,8.9,7.3,3.1,2.0,8.4,Priest
Reiss Blackwell,7.8,0.8,5.9,1.3,7.9,1.1,2.5,Accountant
Angelica Davis,5.1,8.8,5.6,0.6,6.7,1.4,0.9,Accountant
Franky Simpson,6.9,0.8,5.1,3.2,6.7,4.6,10.0,Assassin
Quinn Melton,1.3,7.5,7.0,9.8,4.6,7.6,5.8,Priest
Renee Burt,9.3,2.7,6.1,4.9,6.7,6.9,4.6,Assassin
Cormac Whyte,7.9,6.1,9.0,3.6,3.1,6.3,9.3,Assassin
Carley Parsons,5.6,3.8,4.4,8.6,0.2,7.7,5.1,Enforcer
Tre Huynh,6.9,3.1,4.5,8.4,9.9,9.8,7.2,Accountant
Adeeb Whiteley,1.0,1.8,0.4,3.4,4.1,1.6,1.7,Advisor
Kezia Morrison,3.3,7.8,7.2,10.0,4.0,1.2,7.9,Priest
Samuel Nielsen,0.1,0.5,5.1,2.7,4.8,0.2,2.7,Accountant
Keagan Morrow,0.5,4.3,6.0,7.6,3.6,5.3,6.5,Priest
Lianne Head,5.8,2.0,0.9,2.2,4.2,1.4,0.3,Accountant
Summer-Louise Morton,1.3,1.6,0.4,0.1,1.1,8.9,4.3,Enforcer
Arda Case,5.8,6.4,5.6,9.2,0.7,0.2,5.6,Priest
Charlotte Leigh,1.6,6.9,6.5,2.4,4.2,6.6,5.2,Enforcer
Shannen Almond,10.0,1.9,1.2,0.5,8.5,2.5,3.7,Assassin
Nimra Truong,4.0,1.7,8.0,1.8,9.8,0.4,7.4,Accountant
Ruqayyah Holland,9.9,6.0,7.3,3.1,6.1,2.0,5.7,Assassin
Halle Simmons,9.5,0.0,8.9,7.4,3.3,1.3,7.3,Assassin
Harleen Forrest,2.6,4.0,7.6,3.6,9.1,1.5,9.9,Priest
Tilly-Mae Sloan,9.4,8.3,1.3,0.3,0.1,2.8,9.0,Recruiter
Sanaya Compton,9.1,3.5,2.1,1.9,1.4,0.4,5.4,Assassin
Denise Trujillo,0.4,5.2,0.9,9.6,2.8,7.7,1.4,Advisor
Eadie Bradley,3.3,8.8,4.0,5.4,2.8,3.0,5.6,Recruiter
Kelsi Woodard,8.9,8.4,4.5,5.9,4.3,9.0,1.9,Enforcer
Finley Reader,3.8,4.8,5.6,3.1,4.9,9.7,9.8,Enforcer
Pamela Higgins,5.7,2.5,5.2,5.0,2.8,1.8,0.5,Accountant
Corrina Alston,9.0,2.1,7.9,5.3,6.0,6.4,1.5,Assassin
Abbigail Santiago,3.4,8.1,10.0,8.7,10.0,7.4,3.7,Accountant
Connah Berry,5.2,5.2,1.4,2.9,0.0,9.7,8.4,Enforcer
Areebah Steele,1.2,8.8,9.9,2.2,2.8,8.0,9.2,Enforcer
Isabel Whitehouse,1.5,3.5,7.5,1.5,4.3,5.0,0.3,Enforcer
Leanne Monroe,7.5,2.7,2.3,1.4,3.2,7.8,6.8,Assassin
Huw Maxwell,8.0,0.7,8.4,9.1,6.2,10.0,5.5,Assassin
Mazie Arias,2.5,0.1,6.6,3.2,7.9,0.1,9.9,Priest
Shanelle Benjamin,7.0,4.2,5.7,1.8,0.3,4.2,9.2,Assassin
Layla Mackay,4.4,0.8,6.1,1.2,7.3,4.5,7.6,Assassin
Abu Clements,4.0,0.1,7.3,0.5,7.8,8.2,3.9,Assassin
Thalia Vance,4.5,1.2,1.9,8.7,1.5,5.7,9.1,Priest
Patrick Gordon,4.7,6.9,0.4,2.3,7.3,8.7,4.1,Advisor
Asim Goldsmith,2.7,3.2,6.1,7.2,5.8,0.9,2.8,Accountant
Reid Britt,3.7,6.4,0.5,8.3,0.9,5.6,5.1,Advisor
Pooja Gates,1.8,0.7,2.7,0.8,1.2,8.8,1.1,Enforcer
Suhayb Duncan,0.2,3.1,6.5,7.9,3.5,5.2,9.9,Priest
Murphy Foster,0.9,7.0,8.7,2.3,7.7,1.8,9.2,Priest
Beauden Jacobs,1.9,8.3,6.5,3.7,1.6,0.9,9.4,Priest
Sarah-Jane Dickinson,8.8,2.5,3.2,8.1,4.1,1.7,3.9,Advisor
Timothy Savage,4.1,3.3,7.8,6.4,1.1,8.3,8.9,Enforcer
Portia Ochoa,3.5,7.9,5.4,4.9,5.6,4.2,5.4,Recruiter
Martine O'Gallagher,7.1,3.9,2.1,8.1,1.6,5.1,3.4,Advisor
Maiya Ali,1.6,0.0,1.1,9.2,3.1,10.0,9.6,Priest
Jude Poole,1.4,0.5,8.8,1.8,7.0,2.0,7.9,Priest
Tommy Molina,7.8,6.6,4.8,6.9,0.5,3.1,7.0,Recruiter
Graeme Wickens,9.6,5.8,4.3,8.2,2.0,1.0,4.8,Advisor
Asad Crawford,5.5,2.2,0.3,3.3,5.5,0.4,1.6,Advisor
Cheryl Lake,5.1,2.3,0.3,3.8,9.3,8.3,2.2,Accountant
Nathalie Mcmillan,8.7,4.8,2.5,4.8,2.3,2.8,1.2,Advisor
Sasha Haney,9.7,6.8,8.6,6.4,3.6,2.4,2.1,Assassin
Sophia-Rose Mclean,6.1,4.8,8.6,5.7,6.7,9.6,9.5,Enforcer
Rachelle Hammond,6.6,5.7,0.9,10.0,6.6,7.8,3.5,Advisor
Afsana Velasquez,3.5,6.9,4.0,6.5,4.6,6.2,5.7,Priest
Kay Chandler,4.6,3.6,3.5,0.1,9.3,2.6,7.8,Recruiter
Iga Burks,7.1,0.5,2.8,5.5,4.4,1.7,8.8,Assassin
Arron Rivas,5.9,2.5,2.4,8.8,1.5,5.8,7.3,Priest
Cassandra Mcconnell,5.3,6.4,10.0,8.1,4.2,8.5,0.7,Enforcer
Stanley Harwood,9.3,7.4,1.0,5.4,7.2,10.0,1.4,Advisor
Aneesa Bass,0.5,3.0,0.7,7.6,3.4,5.0,9.4,Priest
Alejandro O'Moore,0.6,3.3,6.6,8.6,2.2,6.0,6.9,Priest
Radhika Bains,1.0,0.5,0.6,8.3,2.3,7.9,8.7,Priest
Scarlett-Rose Bateman,2.6,2.7,1.1,10.0,5.9,5.1,7.8,Priest
Milo Reilly,8.9,8.6,1.9,3.8,0.3,5.7,1.4,Enforcer
Maximillian Bowers,5.2,4.9,6.9,4.1,4.8,3.4,9.8,Priest
Cherie Sosa,5.1,2.3,5.8,4.2,0.8,6.9,4.7,Assassin
Ciaran Little,2.4,8.8,0.1,3.8,1.4,7.8,5.3,Enforcer
Elora Good,3.6,3.9,0.5,1.0,4.0,9.5,2.4,Enforcer
Yousuf Hood,7.9,3.2,8.5,5.3,7.8,7.7,8.4,Assassin
Rhian Barron,3.4,5.1,9.2,0.9,10.0,0.6,8.2,Priest
Giacomo Dupont,4.5,9.6,4.6,8.3,6.7,1.9,9.8,Recruiter
Glenda Blaese,3.4,3.5,7.0,9.2,4.2,8.8,2.5,Enforcer
Marcelina Krueger,9.5,8.1,3.2,8.6,7.3,0.4,2.5,Advisor
Conna Middleton,2.8,2.1,2.4,2.9,5.8,4.0,6.7,Priest
Ameen Forbes,2.7,9.7,7.5,7.0,7.7,6.3,0.9,Accountant
Irfan Edwards,6.6,8.0,6.9,0.5,7.6,3.5,8.5,Recruiter
Debra Schofield,1.5,2.1,0.7,8.6,0.7,1.6,4.6,Priest
Chase Hudson,0.0,8.3,5.9,9.3,2.0,7.8,0.0,Enforcer
Umaima Hills,1.6,2.7,1.8,1.9,3.3,0.3,6.5,Priest
Kwame Stein,8.7,0.3,9.1,9.3,4.3,6.5,8.6,Assassin
Jaden Le,0.1,2.4,1.4,7.6,1.2,4.4,0.9,Advisor
Montgomery Rice,0.3,3.0,5.1,0.7,7.5,5.4,2.1,Accountant
Adelina Parkes,5.2,6.9,1.7,0.9,9.5,7.7,3.0,Advisor
Amayah Jeffery,6.3,3.9,6.1,5.8,8.9,1.7,4.5,Accountant
Jon-Paul Blair,4.3,4.4,8.2,9.7,5.0,0.1,9.4,Priest
Amin Mcdaniel,3.7,8.9,1.5,5.2,9.6,2.6,3.1,Advisor
Kaiya Lovell,3.3,5.5,6.4,2.1,3.9,4.6,6.2,Enforcer
Ameena Hays,7.0,6.1,5.7,3.4,7.6,6.1,7.7,Assassin
Mercy Rollins,3.5,6.9,5.6,3.5,4.2,1.8,3.3,Recruiter
Beth Sandoval,9.9,1.7,3.9,9.0,4.4,2.0,4.9,Assassin
Ralph Hodson,4.0,5.9,1.4,3.6,8.8,8.5,0.0,Accountant
Abul Sutton,8.4,2.1,4.7,7.9,3.2,10.0,2.6,Assassin
Adrian Kavanagh,5.4,4.2,8.0,9.2,7.9,3.9,9.6,Priest
Ashton Baird,8.2,4.7,7.2,8.7,0.4,1.9,9.8,Assassin
Wilfred Norman,3.8,5.4,9.7,9.4,3.7,7.0,6.1,Priest
Sannah Chambers,4.0,5.7,4.8,4.2,9.7,8.9,9.4,Priest
Samanta Burns,6.4,7.7,6.7,4.5,6.8,9.0,4.3,Enforcer
Kirstie Jarvis,3.6,0.8,3.6,3.8,3.1,6.8,8.3,Assassin
Evalyn Salgado,8.2,0.2,1.9,2.4,2.9,2.8,1.0,Assassin
Zain O'Gallagher,2.5,9.7,1.6,2.3,4.2,7.5,2.1,Enforcer
Corbin Robson,0.2,5.6,1.5,8.2,4.7,3.6,7.8,Priest
Margie Whitaker,4.8,9.2,3.5,5.1,1.2,10.0,5.8,Enforcer
Isaiah Whitfield,2.6,5.4,7.4,0.6,5.3,8.1,9.2,Enforcer
Ayah Andersen,4.1,5.3,1.2,8.6,5.6,1.1,0.1,Advisor
Bethaney Hastings,2.5,0.6,7.7,3.9,8.0,6.8,9.9,Assassin
Shah Griffiths,9.4,3.9,0.9,8.8,4.9,0.2,8.5,Advisor
Seren Parrish,2.0,2.2,4.7,4.7,4.0,5.9,9.8,Priest
Cydney Huber,8.0,7.4,1.0,1.4,4.1,1.7,1.9,Advisor
Rohaan Reeve,3.4,7.7,4.6,2.3,0.7,6.9,1.7,Enforcer
Annie Jacobson,4.6,3.2,7.3,4.1,3.5,2.9,3.7,Assassin
Sharmin Marshall,7.0,8.9,7.3,4.8,2.3,0.0,1.6,Recruiter
Sandra Wallace,5.8,5.6,6.9,1.0,2.3,6.2,7.3,Enforcer
Gregory Burrows,9.8,0.8,5.9,6.9,5.4,4.9,1.8,Assassin
Anwen Johnston,3.4,5.5,8.4,8.6,0.5,3.3,4.6,Priest
Hasnain Hunt,7.5,9.4,1.8,3.0,1.2,0.8,8.5,Recruiter
Josh Proctor,7.6,9.7,3.3,0.3,7.6,6.1,8.1,Recruiter
Teresa Davey,6.4,0.4,2.1,6.6,8.5,1.4,2.4,Accountant
Aaran Hook,2.6,6.6,5.8,6.5,1.3,5.0,6.8,Priest
Lynda O'Neill,5.3,1.4,3.4,6.4,1.4,9.6,9.9,Assassin
Kayden Zhang,7.1,4.0,5.4,8.3,4.2,6.5,0.9,Accountant
Indiana Liu,2.7,3.8,7.2,7.4,7.7,5.9,0.7,Accountant
Rosalind Hewitt,9.8,3.2,2.5,9.7,7.0,8.8,3.5,Advisor
Samiyah Oneal,5.6,1.5,2.3,8.9,3.9,7.7,4.6,Advisor
Esa Hardy,2.6,8.4,1.9,4.6,7.2,5.0,6.9,Recruiter
Sierra Kelly,6.2,3.3,0.2,1.8,2.0,5.2,2.3,Assassin
Ozan Rosa,6.9,4.0,1.7,8.3,4.7,6.1,3.5,Advisor
Nabeela Noel,8.0,1.1,9.9,2.6,0.5,2.4,8.7,Assassin
Keon Gallagher,2.4,4.8,0.2,4.7,7.1,6.2,5.3,Advisor
Hassan Hardin,3.2,4.8,1.2,0.3,0.6,6.6,3.4,Enforcer
Donte Goulding,8.5,3.7,3.0,2.0,0.7,2.2,2.7,Assassin
Anastasia Mckeown,3.3,1.6,2.1,7.5,5.4,6.3,3.0,Accountant
Siyana Grant,2.4,6.3,8.4,4.9,4.8,2.3,6.2,Priest
Aston Collins,7.0,1.4,4.2,4.2,1.9,2.8,4.3,Assassin
Chantal Hancock,4.9,3.5,2.6,8.8,4.9,5.7,6.9,Advisor
Lori Brook,2.0,8.1,4.5,5.0,2.4,0.5,8.7,Priest
Efan Holcomb,6.8,4.1,9.2,9.0,9.0,8.8,7.9,Accountant
Chloe-Ann Robertson,2.8,6.3,6.6,8.5,7.2,3.6,8.6,Priest
Elinor Arellano,3.7,7.2,2.0,1.3,10.0,1.6,1.8,Accountant
Jamel Benton,5.2,4.7,4.0,0.3,2.3,3.1,3.5,Enforcer
Fiona Macleod,0.0,3.8,7.8,5.3,1.2,9.4,2.1,Enforcer
Caitlyn Watkins,9.1,2.6,6.6,2.9,6.8,3.9,6.0,Assassin
Amarah Johns,1.0,9.4,3.7,1.9,0.6,1.8,7.3,Recruiter
Ayyub Harmon,4.4,9.4,3.6,3.2,4.7,7.5,2.4,Enforcer
Adeline Guerra,1.1,1.8,0.8,2.9,0.8,3.3,7.9,Priest
Esmai Weeks,6.0,6.9,6.0,6.7,2.1,9.8,9.8,Enforcer
Derren Byers,3.5,3.6,2.2,8.9,6.8,8.1,3.6,Advisor
Mia Dougherty,8.8,7.6,1.0,3.6,0.8,0.9,6.9,Recruiter
June Greenwood,8.8,3.0,0.4,9.6,1.3,9.6,3.2,Advisor
Fatma Sheridan,1.6,4.1,9.8,2.8,1.7,9.3,5.1,Enforcer
Louie Webber,1.2,1.7,4.6,7.6,9.8,2.2,5.7,Accountant
Rafferty Bridges,3.3,8.2,3.2,9.3,3.2,8.7,4.1,Advisor
Regina Woodley,1.1,0.4,9.9,3.1,1.2,8.2,8.8,Enforcer
Milena Ireland,9.1,8.0,6.4,0.1,5.3,6.7,7.0,Enforcer
Mccauley Smith,9.1,1.7,8.5,6.5,5.5,5.3,1.6,Assassin
Emelie Cottrell,6.4,3.2,4.9,4.0,3.8,8.7,1.3,Enforcer
Donnie Ellwood,6.6,4.9,4.2,8.3,3.5,1.2,3.1,Advisor
Yuvraj Alvarez,1.1,7.9,8.2,5.5,9.1,0.0,1.2,Accountant
Kit Good,0.4,0.9,9.3,4.0,9.9,2.0,5.2,Accountant
Rae Obrien,9.2,7.3,7.4,3.2,0.4,0.8,5.2,Assassin
Marissa Naylor,9.4,8.5,8.3,6.5,1.8,6.0,3.9,Enforcer
Guy Daugherty,8.9,5.7,1.4,4.2,0.8,4.0,8.8,Assassin
Keira Cote,1.3,5.8,9.1,3.5,3.2,3.6,1.4,Enforcer
Aarush Beattie,9.0,0.8,4.3,6.0,2.2,3.3,1.9,Assassin
Maddy Schmidt,2.7,0.2,2.7,1.1,1.8,2.2,1.1,Assassin
Sofia Camacho,3.0,4.2,7.1,1.3,5.7,2.3,6.6,Priest
Dev Hewitt,9.5,7.6,9.3,7.5,1.8,3.5,7.0,Assassin
Shani Brooks,0.2,8.7,2.0,7.1,4.6,8.8,0.4,Advisor
Farhaan Frame,8.3,8.5,1.8,4.7,2.1,2.2,3.5,Advisor
Aqeel Cortes,0.9,10.0,1.2,3.9,1.7,5.1,4.5,Recruiter
Areeb Chester,8.3,4.0,9.1,6.1,5.1,0.4,2.3,Accountant
Yaseen Rasmussen,3.2,7.1,5.5,5.1,9.7,5.8,9.2,Priest
Aleisha Derrick,1.0,6.4,0.4,9.4,5.6,3.3,6.8,Advisor
Renesmee Russell,1.3,5.3,6.9,7.0,9.6,5.8,0.2,Accountant
Aliza Cain,5.3,1.5,1.9,4.2,9.6,9.6,4.1,Accountant
Warren Marshall,9.2,2.6,8.2,9.5,8.5,8.6,5.5,Accountant
Madeeha Rivas,5.5,2.6,6.0,9.7,4.7,5.0,2.6,Accountant
Renee Booker,1.6,9.5,4.0,8.3,7.7,1.3,4.0,Advisor
Rihanna Santana,3.4,8.6,2.3,3.9,1.5,4.8,0.6,Advisor
Zach Morton,5.7,10.0,6.0,2.7,5.2,1.0,1.3,Recruiter
Robson Cantrell,2.1,0.3,0.6,8.2,5.0,2.2,0.8,Accountant
Nolan Small,2.8,2.4,4.6,7.8,9.2,5.4,4.9,Accountant
Briony Morin,6.9,2.4,3.0,0.0,0.1,7.8,2.1,Enforcer
Dotty Macias,2.8,2.8,3.8,8.4,5.3,3.1,6.8,Priest
Oskar Holloway,5.5,2.2,2.8,9.6,5.8,0.1,7.0,Advisor
Lottie Rangel,4.7,7.8,4.4,7.8,4.3,8.7,0.7,Advisor
Lilianna Nielsen,6.3,0.7,7.3,5.4,4.4,4.1,4.6,Assassin
Kira Ayers,5.2,3.5,3.0,1.4,5.4,0.4,8.2,Recruiter
Kirsty Mendoza,6.3,8.0,6.5,0.3,3.3,6.9,2.3,Enforcer
Romario Forster,0.7,10.0,7.1,8.3,0.3,1.4,7.0,Priest
Hassan Melton,9.8,4.2,9.0,5.8,6.2,1.0,5.7,Assassin
Mara Cline,9.7,6.8,2.7,3.1,8.2,4.9,4.4,Advisor
Ava-Grace Mahoney,0.6,5.7,2.8,1.9,8.2,4.5,8.8,Priest
Samual Beach,6.8,9.8,4.9,5.1,2.8,0.8,5.3,Recruiter
Matt Forbes,2.9,2.7,2.6,2.0,1.7,1.5,6.8,Priest
Lubna Porter,5.4,3.4,5.4,6.9,6.7,2.9,3.1,Accountant
Sol Conley,0.5,1.9,3.6,9.1,4.0,3.6,1.1,Accountant
Aleena Mccann,3.7,1.5,9.7,10.0,4.3,2.0,0.8,Accountant
Iylah Snow,8.1,2.1,6.8,3.8,7.3,3.8,8.9,Assassin
Toyah Li,0.1,6.7,8.1,8.4,4.3,6.4,3.5,Priest
Danyaal Malone,4.1,8.6,3.4,1.6,1.9,6.5,3.7,Enforcer
Vivek Price,9.1,8.8,4.4,3.3,4.3,6.8,0.4,Enforcer
Derek Walter,8.7,6.7,0.7,8.1,1.3,2.8,9.8,Recruiter
Matei Grant,9.4,7.5,3.1,0.0,3.9,6.3,4.3,Enforcer
Tasnia Haworth,9.6,0.4,6.9,9.6,2.2,4.0,7.0,Assassin
Angelica Meyers,5.9,4.0,5.3,0.5,9.4,5.3,7.3,Assassin
Brendon Jefferson,5.4,4.1,2.5,7.2,2.5,7.8,2.8,Advisor
Huzaifa Rennie,4.8,5.8,2.7,9.5,1.8,4.6,8.9,Priest
Prince Martin,8.2,6.6,8.0,3.4,8.6,7.4,4.5,Accountant
Serena Bentley,5.4,2.3,4.0,0.5,4.7,4.5,4.1,Assassin
Taylah Kramer,7.6,1.4,3.7,3.5,0.0,8.9,4.4,Assassin
Abdirahman Benton,5.6,7.1,1.2,1.9,6.8,9.0,5.1,Enforcer
Roger Foreman,5.2,2.7,3.0,8.4,6.1,0.0,4.7,Advisor
T-Jay Warren,5.6,3.9,7.7,0.8,1.7,8.7,0.9,Enforcer
Thea Andrew,9.6,0.9,5.3,1.0,2.8,0.4,1.4,Assassin
Yasmeen Lees,2.2,6.8,7.7,2.7,6.4,1.6,6.7,Priest
Irving Mckeown,5.1,0.6,2.7,3.3,3.3,6.9,5.4,Assassin
Rida Howarth,0.1,3.0,9.2,9.8,9.7,0.1,7.7,Priest
Ciara Graves,5.8,4.1,4.5,1.9,5.1,2.2,8.4,Assassin
Aqib Hurley,4.8,1.9,9.7,9.6,9.2,5.7,1.7,Accountant
Habiba Britton,1.5,8.5,0.8,9.6,7.6,4.2,5.1,Advisor
Sonya Farrow,6.3,6.1,1.6,2.9,7.5,9.5,4.9,Enforcer
Cloe Bass,4.7,1.7,4.7,8.7,1.0,3.1,5.9,Priest
Digby Roche,1.6,8.8,0.9,0.3,1.6,3.9,7.8,Recruiter
Gabriela Mccaffrey,1.4,6.0,9.7,10.0,0.4,6.6,0.2,Enforcer
Firat Flores,3.6,8.4,9.7,5.9,0.4,1.7,7.6,Priest
Jem Ingram,2.6,7.6,3.9,0.3,10.0,3.4,7.0,Recruiter
Mariya Beech,4.6,7.3,7.0,2.2,3.2,6.2,8.8,Enforcer
Aida Robins,7.2,9.9,0.6,0.7,3.6,6.4,9.6,Recruiter
Javan Cairns,5.6,9.5,5.7,0.6,9.4,4.0,0.6,Accountant
Sienna-Rose Pham,4.6,4.9,3.4,2.4,4.7,4.4,9.9,Recruiter
Lewis Velasquez,2.6,2.7,4.6,6.5,1.5,8.5,4.6,Enforcer
Isaak Wallis,6.1,6.7,6.9,1.3,6.6,3.1,4.9,Assassin
Austin Nicholson,5.9,0.6,7.7,3.3,1.0,6.9,7.8,Assassin
Jayce Davidson,2.9,0.8,3.3,4.1,8.6,9.4,8.0,Assassin
Cerys Andersen,9.2,4.4,6.4,3.9,1.4,4.3,7.0,Assassin
Scarlett Brett,6.5,7.8,2.9,4.5,4.8,5.8,1.8,Advisor
Chardonnay Salter,2.7,5.1,8.2,0.2,7.3,4.9,4.9,Enforcer
Lyla Avalos,2.7,7.9,1.7,4.2,9.1,0.5,7.1,Recruiter
Ellis Moss,9.2,1.8,1.1,7.5,0.3,4.6,9.4,Assassin
Abdul Black,7.5,5.8,7.0,7.7,7.5,5.0,4.2,Accountant
Ruby Kaye,7.8,3.3,5.0,9.4,6.3,4.0,8.1,Advisor
Raiden Hawkins,5.7,2.8,6.7,5.4,7.9,1.8,6.7,Accountant
